Time_To_Goal,UAV_ID,
937,0,327.276052026321
1203,1,420.442677016317
719,2,250.972616495485
1360,3,475.354360980606
713,4,248.89152428125
770,5,268.847303353415
712,6,248.541524308009
1268,7,443.143620550644
842,8,294.037494018781
1304,9,455.742738408022
837,10,292.281514203695
1225,11,428.084278647113
773,12,269.880518357799
1299,13,453.988140841303
830,14,289.829921109077
1083,15,378.417056465592
758,16,264.656188854734
1201,17,419.708706095156
798,18,278.65800942398
1224,19,427.746929610762
714,20,249.25539012224
738,21,257.633615190043
1311,22,458.198062426984
1036,23,361.993516828709
881,24,307.654067948145
935,25,326.591440268301
878,26,306.604067955396
1079,27,377.332053797129
723,28,252.385455688229
727,29,253.780297569125
743,30,259.38420181504
1066,31,372.776180314205
