Time_To_Goal,UAV_ID,
737,0,257.270136633743
1254,1,438.236155841138
898,2,313.620775782227
1214,3,424.231078946763
795,4,277.588955945376
1072,5,374.531212079641
1128,6,394.143495830663
759,7,264.974559163407
828,8,289.124025867953
876,9,305.937303207216
792,10,276.522386692344
1215,11,424.646595210486
1243,12,434.399403071594
1084,13,378.746499280513
1302,14,455.048765900225
1209,15,422.507374135559
869,16,303.459666668726
803,17,280.370538801547
797,18,278.261666528396
1210,19,422.857055513303
769,20,268.502778787786
872,21,304.514328736728
1288,22,450.151151428439
1232,23,430.5486901446
