UAV_ID,Priority,Time_To_Goal
0,3.441227486885041,368
1,2.6691298481059125,451
2,5.43077118700778,295
3,2.747907870396923,362
4,3.109609841578183,288
5,4.582481117061564,278
6,2.090767595143758,281
7,2.4083633420697117,280
8,3.1876032258370355,284
9,2.6701300422206407,440
10,1.807235387578194,290
11,2.7951234894124126,389
12,2.641171052998757,274
13,3.6034716026094955,276
14,1.3352114705283056,276
15,2.2998209623100485,276
