UAV_ID,Priority,Time_To_Goal,
0,3,901,307.48815805529
1,3,278,95.6094007800411
2,3,874,298.077047387043
3,3,1312,452.675351256717
4,3,356,116.990251494411
5,3,456,146.698906105641
6,3,685,225.586958074066
7,3,619,207.596475644492
8,3,837,280.576172289663
9,3,492,164.567048607294
10,3,283,96.3831213046158
11,3,292,97.379426650902
12,3,795,263.848470921673
13,3,465,152.407103921438
14,3,443,144.071471988721
15,3,424,141.719662685323
16,3,472,156.784925047835
17,3,605,204.022389399282
18,3,297,101.672150566098
19,3,3374,312.187102401917
20,3,375,118.271557684539
21,3,2840,136.229617076305
22,3,493,161.369108608171
23,3,684,128.828624728115
24,3,303,103.910988594444
25,3,283,94.4661740321679
26,3,371,120.098227475295
27,3,2327,151.922326762498
28,3,286,95.7081433113292
29,3,371,114.631521486171
30,3,309,103.761458501217
31,3,634,201.500346355178
32,3,275,94.2636994583091
33,3,700,234.087459206077
34,3,283,97.1280835332992
35,3,1460,501.422393278397
36,3,287,98.7617919321446
37,3,413,136.31442195596
38,3,282,97.0137974267211
39,3,390,128.063940926818
,,,In [12]:priority = open
