UAV_ID,Priority,Time_To_Goal,
0,3,406,132.714902524677
1,3,421,134.357062642038
2,3,291,99.1137648679903
3,3,437,142.265790427983
4,3,536,178.11891040928
5,3,509,169.031786436247
6,3,602,199.742491150651
7,3,283,95.1700085484936
8,3,310,106.000885421361
9,3,279,95.2085309625187
10,3,300,102.591798043285
11,3,1309,136.858914936169
12,3,435,143.761820189244
13,3,574,190.498238536101
14,3,403,128.929586497022
15,3,277,94.6418542325809
16,3,416,138.403461018378
17,3,283,96.4283031434375
18,3,636,212.021680229547
19,3,291,95.4440738554846
20,3,819,274.868458351336
21,3,400,129.626186495014
22,3,524,175.969065990875
23,3,276,94.1776607949914
24,3,276,94.1644762436937
25,3,416,135.500539769409
26,3,276,93.8916141443763
27,3,485,157.261847150056
