UAV_ID,Priority,Time_To_Goal,
0,3,1107,378.910301023865
1,3,420,139.427786738717
2,3,383,125.794595156717
3,3,282,95.9776925294182
4,3,456,152.120694948479
5,3,286,97.765247249761
6,3,442,127.29784992535
7,3,392,127.33393437168
8,3,598,199.794039794564
9,3,281,94.6848195260148
10,3,390,129.085231384796
11,3,278,94.8714642603774
12,3,283,96.6214277358969
13,3,277,94.1501509306745
14,3,282,95.4491509453807
15,3,372,122.087917704993
16,3,640,216.356911812427
17,3,275,93.527639278628
18,3,277,94.5199075022608
19,3,277,94.1865835564616
