UAV_ID,Priority,Time_To_Goal,
0,3,788,263.451409700202
1,3,399,130.034591877472
2,3,497,165.703875488925
3,3,284,96.2518831150986
4,3,1110,369.587717473574
5,3,821,278.736339040706
6,3,281,95.0977115770161
7,3,400,120.609249610695
8,3,584,193.712732386239
9,3,531,177.550728279073
10,3,363,120.05378370885
11,3,377,117.913529910717
12,3,441,146.093653363247
13,3,276,94.2912187199823
14,3,360,117.900720902937
15,3,628,211.390250292794
16,3,283,96.3276848672427
17,3,290,95.7696461494239
18,3,279,95.3411471910825
19,3,897,145.140680578054
20,3,274,93.1776789110741
21,3,274,93.177642082729
22,3,274,93.1776743821923
23,3,277,94.2276742205021
