0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y
17.3306116866093,13.009976614898711,-14.983720886670486,0.030465870193998296,-16.333364827283035,-7.010421037914338,15.949199671428902,1.975079973135519,18.12675957848551,13.980269532693388,-15.75171103054933,3.9206114216457424,-15.726988683404866,-4.702369938109969,18.593062251405886,3.9402182259377834,14.94205018282486,0.5069775406485847,-14.698396139891729,3.821185069032814,-17.467570106689468,-16.65597514326526,14.666106524113973,-6.444149467903998,16.875578964422676,15.81807619291108,-14.43415421679358,5.9953593679350075,-17.934043507588843,-17.39007337115177,15.979345675319342,-3.2473037558930646,14.760464375568809,5.411812766842329,-17.989599244267215,11.947408365791095,-14.535090722011754,-3.662298542681936,15.483846356402921,-6.541191277863469,14.332200816473264,8.730696912520557,-14.31452573223585,10.472117679919315,-14.317223935153558,-9.099965751683586,14.368693178053388,-11.725328143515288
16.98954382387098,13.08854322999137,-14.637209257656545,-0.018826025266666914,-16.002575109810078,-7.124780833359072,15.59921106212429,1.9722562597959203,17.786000939217516,14.060166652567805,-15.40171366486947,3.9192534757124005,-15.377432486867125,-4.719989968248112,18.35791102014692,4.137730731620331,14.593479632177884,0.47537736309110573,-14.34841786881324,3.817285098146935,-17.132738107855193,-16.757894388536425,14.32412167902904,-6.518623394430237,16.54050779735733,15.919206371401312,-14.08417836212724,5.999470468829471,-17.601001774557684,-17.497698665853353,15.644035944428456,-3.1469673997210297,14.410993795181088,5.392569236930446,-17.640168991251876,11.967370787428653,-14.186000807471464,-3.637074911574323,15.230713531484634,-6.299481176814946,13.98236283080395,8.720048730382926,-13.964557080054155,10.476801961094415,-13.967287942654714,-9.093272385277302,14.019410426416492,-11.747723665589112
16.648034115183513,13.165166456706258,-14.291176499585239,-0.07137438719703,-15.67128377237348,-7.237679237862724,15.24922743454437,1.9688709347008166,17.44503548661735,14.139176526211324,-15.05171549382091,3.9181219887873073,-15.027915597976392,-4.7383732318360465,18.098741929205133,4.351610035537635,14.244862833187769,0.44429155504489304,-13.998444577648906,3.8129612721092085,-16.79744621646213,-16.85829034246915,13.982213640907833,-6.593449148473259,16.204884989589182,16.018490463308453,-13.734215956881638,6.004600275328025,-17.267306544974428,-17.60328035817441,15.309593544230196,-3.043776891680669,14.06158226664667,5.372281710535107,-17.290722055467217,11.987039012328554,-13.83691669766831,-3.611771072281851,14.976783506189644,-6.058608716260224,13.632528732382086,8.70927359319763,-13.61457171979238,10.480003148754703,-13.617369304034858,-9.085726104973313,13.670071997876265,-11.769233252871174
16.306186754724013,13.240268934340973,-13.945768309943807,-0.12788263906017566,-15.339643880811117,-7.349549619664633,14.89924507762627,1.9653566999261323,17.103469222484865,14.215547248393174,-14.70172225899068,3.915945851596687,-14.678454903555252,-4.75779546277627,17.82597898687518,4.570928017681163,13.896134540697094,0.4144825292886127,-13.64847667288279,3.8082214795383447,-16.46185591235704,-16.957684244649585,13.639980035259052,-6.666771444977357,15.868672780291837,16.11575993600877,-13.384255057988542,6.009831837803607,-16.93312514734044,-17.70731301398687,14.975727506807814,-2.9387365705850232,13.71208763568071,5.353480037046646,-16.941187185638263,12.005077160062084,-13.487811278127182,-3.5867629526601412,14.720426109116438,-5.820321316329277,13.282717362410757,8.697784231214413,-13.264598572419914,10.48433859777527,-13.26741838414521,-9.079864904721745,13.320708627949452,-11.790333863132043
15.96396305772059,13.313637464442843,-13.601205416761525,-0.18933516253851193,-15.007385984856027,-7.459570938396487,14.549253630842202,1.9629098288640578,16.76173532520464,14.291164332770105,-14.351737684657742,3.9126598617925503,-14.329017478125548,-4.777631936985674,17.550905300475552,4.787340741545815,13.547278706172035,0.38620521120814105,-13.29850560584715,3.8037212308855968,-16.125654868565245,-17.05499230265768,13.297569070358234,-6.739260969156305,15.532139853712312,16.211913923590256,-13.034274096526332,6.013482401320065,-16.59851966441269,-17.80997347762642,14.642597570138745,-2.8313846013675827,13.36263921752612,5.333838167246272,-16.591614872731448,12.022374502314012,-13.138724244767259,-3.56149947823623,14.462917681825404,-5.583278261433974,12.932920846925226,8.685851178202698,-12.914621311363057,10.488328177094028,-12.917488816601777,-9.0728436684441,12.971308680213758,-11.810819871095863
15.621304630914231,13.384948070516495,-13.257327336567881,-0.2545108172136615,-14.674417140960577,-7.567421524834056,14.199262803968002,1.9603758391413495,16.41964696371041,14.36516131196651,-14.001755884247192,3.909090634790759,-13.979657002534047,-4.798780414341729,17.27462944743844,5.00221664300667,13.198301476600152,0.35946772366100704,-12.948542619990429,3.798631188621774,-15.788908397799743,-17.150395732506812,12.95437928327219,-6.80796882925859,15.195151039918223,16.306457772558087,-12.684295347512235,6.017339244397954,-16.263544622206265,-17.91142159785939,14.310063838647954,-2.722199815702132,13.01316596831397,5.314643165680694,-16.24200866558194,12.03897269265315,-12.78967150783718,-3.5357664869289356,14.203136514226639,-5.348728170918062,12.583081586141647,8.675244971793314,-12.564652986908031,10.493036879478185,-12.567530211781216,-9.06746083349896,12.621974190031905,-11.832393326298615
15.278259290679738,13.454373530856353,-12.914233084051542,-0.32369415256440903,-14.340848703010513,-7.67340311381797,13.849283701991519,1.9565511587973692,16.077162140715313,14.437301079210501,-13.651788671182054,3.904300041986107,-13.630232616401743,-4.818845268591461,16.996105025611534,5.214169813414634,12.849174920555836,0.3347564334349832,-12.598585091807779,3.793178806730375,-15.451495186767838,-17.243413607246772,12.610483969061688,-6.8730534884653505,14.857743314818812,16.39949554468984,-12.33430556902019,6.020014118430456,-15.928026457757086,-18.01105874617594,13.977871958368782,-2.611979333592006,12.66376066990922,5.294248621148231,-15.8924824688189,12.057178125258968,-12.440662991859371,-3.5094405344301665,13.940799522097022,-5.11704022871911,12.233213096380627,8.665651230482291,-12.214685306999659,10.497793245691017,-12.217582034587394,-9.061438103327175,12.272683718712306,-11.854668124733902
14.934957089945556,13.522517488556707,-12.572552789386553,-0.39955307582097743,-14.006721319772394,-7.7776091202209,13.499314206182877,1.9519303359870315,15.734632725619534,14.509228819298341,-13.301816480853436,3.899888013360875,-13.28085065779758,-4.839635819375859,16.715987768912257,5.4240133801477395,12.500090594473317,0.3094555780440201,-12.248624478557534,3.787928171196245,-15.113230683445158,-17.333286438468786,12.26593554966977,-6.934587110937384,14.519981406787565,16.4912391738043,-11.98431553294557,6.0226550744101806,-15.592550749651627,-18.110838750541248,13.646237191332252,-2.500093761275345,12.314327754459951,5.274332858531039,-15.542917900035695,12.074631269715272,-12.091723297713816,-3.4822175689486725,13.67619862863483,-4.887941195157181,11.883336439410469,8.656360110668906,-11.86470705550019,10.501694973176964,-11.867637764983309,-9.05519245113843,11.923459129012853,-11.877953011447154
14.591335340573734,13.589031346952147,-12.232376343217004,-0.48189374299981425,-13.672653452548236,-7.882005768099563,13.149346808961019,1.9471532153315028,15.391987789459623,14.580604219290013,-12.951877572236933,3.8933488822036715,-12.931552468037829,-4.861789253208152,16.433673717619733,5.630892031638904,12.150886043140288,0.2858720810959927,-11.898679091194744,3.7817454643856196,-14.774508173046463,-17.421417369186706,11.920557926170769,-6.991281883061292,14.181743171539608,16.581210814982775,-11.634328172425775,6.0256295451844215,-15.257022021381982,-18.210440319332882,13.315439919761966,-2.385755818659372,11.964851084428044,5.255200239698014,-15.19328095217571,12.09056879433969,-11.742984908972993,-3.4525268933340154,13.410038254850678,-4.6606557899348475,11.533430222495376,8.64825829826874,-11.514730791383533,10.505771068728745,-11.517707302701943,-9.048215950041932,11.574267501555191,-11.901727100566813
14.247442686941596,13.65413006259114,-11.893742254233917,-0.5703638157848823,-13.338078753582845,-7.984766513582547,12.79939643567507,1.9412594697461585,15.049319212695652,14.651866035843863,-12.601952333309699,3.8861151306377253,-12.582265163988689,-4.884113662048782,16.150082527595224,5.836016474210924,11.801622753310811,0.26317506857251016,-11.548739519265526,3.775241927040813,-14.434991614451308,-17.506437992800638,11.57471653851622,-7.045075326761952,13.843151927807007,16.669844723097054,-11.28434594531457,6.029156683724484,-14.921277955940534,-18.3093135842777,12.986058288461795,-2.2674015159828818,11.615335028574465,5.236801144596401,-14.843685251738433,12.107386827392626,-11.394340007068267,-3.4217578768426735,13.141561098494847,-4.436111770831495,11.183528683702882,8.63995690376875,-11.164752437880017,10.509663635872448,-11.167767395823562,-9.041730460549966,11.225194368551504,-11.927181919658487
