UAV_ID,Priority,Time_To_Goal,
0,3,281,95.2574639564496
1,3,539,181.458649587379
2,3,460,131.792202640663
3,3,557,184.94020795338
4,3,466,153.221595597581
5,3,851,286.111231998536
6,3,368,119.268882118139
7,3,914,133.514076378365
8,3,306,101.03621227439
9,3,531,134.406321969241
10,3,1023,134.130203628644
11,3,544,181.868290992165
12,3,292,99.7340618777212
13,3,413,126.30843173801
14,3,420,138.916317018805
15,3,610,204.720118424449
16,3,361,116.819663174282
17,3,465,154.944842025191
18,3,964,322.457358118596
19,3,396,129.898771049365
20,3,408,135.531789437936
21,3,800,148.397116346428
22,3,363,117.719113327544
23,3,523,170.188864532286
24,3,469,154.40014924645
25,3,425,139.262290233036
26,3,303,101.60570980444
27,3,352,116.739870767416
28,3,433,141.50288104338
29,3,281,95.8402983619652
30,3,283,97.1965825231711
31,3,278,94.7902849529885
32,3,275,93.5276846121125
33,3,389,124.587317481064
34,3,458,152.777229260343
35,3,802,196.875086922485
,,,In [12]:priority = o
,,,
,,499,73.77
